Source_Group,Outer_Fold,Rows_UTS,Included_UTS,Rows_YS,Included_YS,Rows_EL,Included_EL,Rows_MTL,Included_MTL,Rows_Matched,Included_Matched
10.1007/s10853-010-4313-y,2,4,True,4,True,4,True,4,True,4,True
10.1007/s10853-018-2201-z,0,4,True,4,True,3,True,4,True,3,True
10.1007/s11661-010-0395-z,1,2,True,2,True,0,False,2,True,0,False
10.1007/s11661-014-2235-z,4,1,True,1,True,1,True,1,True,1,True
10.1007/s11661-021-06279-5,2,2,True,2,True,2,True,2,True,2,True
10.1007/s11665-025-11325-z,2,1,True,0,False,1,True,1,True,0,False
10.1007/s12540-023-01610-8,2,4,True,4,True,4,True,4,True,4,True
10.1007/s12613-019-1894-6,2,2,True,2,True,2,True,2,True,2,True
10.1007/s40192-024-00374-2,4,2,True,2,True,2,True,2,True,2,True
10.1016/j.actamat.2006.11.009,0,1,True,1,True,1,True,1,True,1,True
10.1016/j.actamat.2013.09.042,2,7,True,7,True,7,True,7,True,7,True
10.1016/j.jmatprotec.2018.06.022,3,1,True,1,True,1,True,1,True,1,True
10.1016/j.jmrt.2022.06.015,3,5,True,5,True,5,True,5,True,5,True
10.1016/j.jmrt.2023.03.041,2,5,True,5,True,5,True,5,True,5,True
10.1016/j.matdes.2015.05.074,3,1,True,1,True,1,True,1,True,1,True
10.1016/j.matdes.2025.114289,0,5,True,5,True,5,True,5,True,5,True
10.1016/j.matlet.2024.137187,0,2,True,2,True,2,True,2,True,2,True
10.1016/j.msea.2006.12.125,0,1,True,1,True,1,True,1,True,1,True
10.1016/j.msea.2007.07.048,4,2,True,2,True,2,True,2,True,2,True
10.1016/j.msea.2007.10.083,1,3,True,3,True,3,True,3,True,3,True
10.1016/j.msea.2011.11.031,3,9,True,9,True,9,True,9,True,9,True
10.1016/j.msea.2012.07.016,4,1,True,1,True,1,True,1,True,1,True
10.1016/j.msea.2024.147381,1,3,True,2,True,1,True,3,True,1,True
10.1016/j.msea.2026.149868,0,0,False,2,True,0,False,2,True,0,False
10.1016/j.mtcomm.2021.102570,0,1,True,1,True,1,True,1,True,1,True
10.1016/j.mtcomm.2025.112843,1,2,True,3,True,2,True,3,True,2,True
10.1016/j.mtcomm.2025.113970,2,1,True,1,True,1,True,1,True,1,True
10.1016/s0043-1648(03)00373-9,4,1,True,1,True,0,False,1,True,0,False
10.1088/2053-1591/ab8492,4,5,True,5,True,5,True,5,True,5,True
10.3390/ma13225227,0,0,False,1,True,0,False,1,True,0,False
10.3390/ma17010092,3,3,True,3,True,3,True,3,True,3,True
10.3390/met14040415,0,5,True,5,True,5,True,5,True,5,True
10.3390/met16010099,1,4,True,5,True,5,True,5,True,4,True
ACTASRC_002,2,1,True,0,False,0,False,1,True,0,False
ACTASRC_003,4,1,True,0,False,0,False,1,True,0,False
ACTASRC_004,3,1,True,0,False,0,False,1,True,0,False
ACTASRC_005,3,1,True,0,False,0,False,1,True,0,False
ACTASRC_006,1,1,True,0,False,0,False,1,True,0,False
ACTASRC_008,0,1,True,0,False,0,False,1,True,0,False
ACTASRC_010,1,1,True,0,False,0,False,1,True,0,False
ACTASRC_012,1,1,True,0,False,0,False,1,True,0,False
ACTASRC_013,0,2,True,0,False,0,False,2,True,0,False
ACTASRC_014,2,1,True,0,False,0,False,1,True,0,False
ACTASRC_015,2,1,True,0,False,0,False,1,True,0,False
ACTASRC_016,2,1,True,0,False,0,False,1,True,0,False
ACTASRC_018,3,1,True,0,False,0,False,1,True,0,False
ACTASRC_019,0,1,True,0,False,0,False,1,True,0,False
ACTASRC_020,0,1,True,0,False,0,False,1,True,0,False
ACTASRC_022,1,2,True,0,False,0,False,2,True,0,False
ACTASRC_025,3,1,True,0,False,0,False,1,True,0,False
ACTASRC_027,4,1,True,0,False,0,False,1,True,0,False
ACTASRC_028,4,1,True,0,False,0,False,1,True,0,False
ACTASRC_030,1,1,True,0,False,0,False,1,True,0,False
ACTASRC_034,0,1,True,0,False,0,False,1,True,0,False
ACTASRC_035,3,1,True,0,False,0,False,1,True,0,False
ACTASRC_039,4,1,True,0,False,0,False,1,True,0,False
ACTASRC_040,4,1,True,0,False,0,False,1,True,0,False
ACTASRC_042,1,1,True,0,False,0,False,1,True,0,False
ACTASRC_046,2,1,True,0,False,0,False,1,True,0,False
ACTASRC_047,2,1,True,0,False,0,False,1,True,0,False
ACTASRC_049,3,1,True,0,False,0,False,1,True,0,False
ACTASRC_050,1,1,True,0,False,0,False,1,True,0,False
ACTASRC_051,3,1,True,0,False,0,False,1,True,0,False
ACTASRC_052,3,1,True,0,False,0,False,1,True,0,False
ACTASRC_053,2,6,True,0,False,0,False,6,True,0,False
ACTASRC_054,3,1,True,0,False,0,False,1,True,0,False
ACTASRC_056,3,1,True,0,False,0,False,1,True,0,False
ACTASRC_057,3,1,True,0,False,0,False,1,True,0,False
ACTASRC_059,0,1,True,0,False,0,False,1,True,0,False
ACTASRC_063,3,1,True,0,False,0,False,1,True,0,False
ACTASRC_065,2,1,True,0,False,0,False,1,True,0,False
ACTASRC_066,4,1,True,0,False,0,False,1,True,0,False
ACTASRC_067,4,1,True,0,False,0,False,1,True,0,False
ACTASRC_068,2,1,True,0,False,0,False,1,True,0,False
ACTASRC_070,2,1,True,0,False,0,False,1,True,0,False
ACTASRC_071,4,1,True,0,False,0,False,1,True,0,False
ACTASRC_074,2,1,True,0,False,0,False,1,True,0,False
ACTASRC_075,2,1,True,0,False,0,False,1,True,0,False
ACTASRC_076,4,1,True,0,False,0,False,1,True,0,False
ACTASRC_080,4,2,True,0,False,0,False,2,True,0,False
ACTASRC_081,0,1,True,0,False,0,False,1,True,0,False
ACTASRC_082,4,2,True,0,False,0,False,2,True,0,False
ACTASRC_084,1,1,True,0,False,0,False,1,True,0,False
ACTASRC_088,1,1,True,0,False,0,False,1,True,0,False
ACTASRC_089,4,1,True,0,False,0,False,1,True,0,False
ACTASRC_090,0,1,True,0,False,0,False,1,True,0,False
ACTASRC_091,3,1,True,0,False,0,False,1,True,0,False
ACTASRC_093,2,1,True,0,False,0,False,1,True,0,False
ACTASRC_097,0,1,True,0,False,0,False,1,True,0,False
ACTASRC_098,2,3,True,0,False,0,False,3,True,0,False
ACTASRC_100,4,1,True,0,False,0,False,1,True,0,False
ACTASRC_101,3,1,True,0,False,0,False,1,True,0,False
ACTASRC_102,0,1,True,0,False,0,False,1,True,0,False
ACTASRC_105,2,1,True,0,False,0,False,1,True,0,False
ACTASRC_106,1,1,True,0,False,0,False,1,True,0,False
ACTASRC_107,1,1,True,0,False,0,False,1,True,0,False
ACTASRC_109,4,1,True,0,False,0,False,1,True,0,False
ACTASRC_111,0,1,True,0,False,0,False,1,True,0,False
ACTASRC_112,4,1,True,0,False,0,False,1,True,0,False
ACTASRC_125,3,2,True,0,False,0,False,2,True,0,False
ACTASRC_126,3,1,True,0,False,0,False,1,True,0,False
ACTASRC_127,3,1,True,0,False,0,False,1,True,0,False
ACTASRC_128,0,1,True,0,False,0,False,1,True,0,False
ACTASRC_129,4,1,True,0,False,0,False,1,True,0,False
ACTASRC_131,1,1,True,0,False,0,False,1,True,0,False
ACTASRC_132,0,1,True,0,False,0,False,1,True,0,False
ACTASRC_133,2,2,True,0,False,0,False,2,True,0,False
ACTASRC_136,0,1,True,0,False,0,False,1,True,0,False
ACTASRC_137,3,1,True,0,False,0,False,1,True,0,False
ACTASRC_139,1,1,True,0,False,0,False,1,True,0,False
ACTASRC_149,3,1,True,0,False,0,False,1,True,0,False
ACTASRC_150,3,2,True,0,False,0,False,2,True,0,False
ACTASRC_151,2,1,True,0,False,0,False,1,True,0,False
ACTASRC_154,1,1,True,0,False,0,False,1,True,0,False
ACTASRC_156,2,1,True,0,False,0,False,1,True,0,False
ACTASRC_161,4,2,True,0,False,0,False,2,True,0,False
ACTASRC_170,3,1,True,0,False,0,False,1,True,0,False
ACTASRC_173,4,4,True,0,False,0,False,4,True,0,False
ACTASRC_174,4,2,True,0,False,0,False,2,True,0,False
ACTASRC_175,3,2,True,0,False,0,False,2,True,0,False
ACTASRC_180,0,1,True,0,False,0,False,1,True,0,False
ACTASRC_183,4,1,True,0,False,0,False,1,True,0,False
ACTASRC_184,2,1,True,0,False,0,False,1,True,0,False
ACTASRC_188,2,1,True,0,False,0,False,1,True,0,False
ACTASRC_189,3,2,True,0,False,0,False,2,True,0,False
AGEDSRC_001,4,5,True,5,True,5,True,5,True,5,True
AGEDSRC_002,4,3,True,2,True,3,True,3,True,2,True
AGEDSRC_003,1,1,True,1,True,1,True,1,True,1,True
AGEDSRC_004,0,1,True,1,True,1,True,1,True,1,True
AGEDSRC_005,0,8,True,8,True,6,True,8,True,6,True
AGEDSRC_006,4,16,True,14,True,15,True,16,True,13,True
