mode,scheme,Source_Group,Outer_Fold
strict,MAIN_5FOLD,10.1007/s10853-018-2201-z,0
strict,MAIN_5FOLD,10.1016/j.actamat.2006.11.009,0
strict,MAIN_5FOLD,10.1016/j.jallcom.2015.10.108,0
strict,MAIN_5FOLD,10.1016/j.matdes.2025.114289,0
strict,MAIN_5FOLD,10.1016/j.matlet.2024.137187,0
strict,MAIN_5FOLD,10.1016/j.msea.2006.12.125,0
strict,MAIN_5FOLD,10.1016/j.msea.2026.149868,0
strict,MAIN_5FOLD,10.1016/j.mtcomm.2021.102570,0
strict,MAIN_5FOLD,10.3390/ma13225227,0
strict,MAIN_5FOLD,10.3390/met14040415,0
strict,MAIN_5FOLD,ACTASRC_008,0
strict,MAIN_5FOLD,ACTASRC_013,0
strict,MAIN_5FOLD,ACTASRC_019,0
strict,MAIN_5FOLD,ACTASRC_020,0
strict,MAIN_5FOLD,ACTASRC_034,0
strict,MAIN_5FOLD,ACTASRC_059,0
strict,MAIN_5FOLD,ACTASRC_081,0
strict,MAIN_5FOLD,ACTASRC_090,0
strict,MAIN_5FOLD,ACTASRC_097,0
strict,MAIN_5FOLD,ACTASRC_102,0
strict,MAIN_5FOLD,ACTASRC_111,0
strict,MAIN_5FOLD,ACTASRC_128,0
strict,MAIN_5FOLD,ACTASRC_132,0
strict,MAIN_5FOLD,ACTASRC_136,0
strict,MAIN_5FOLD,ACTASRC_180,0
strict,MAIN_5FOLD,AGEDSRC_004,0
strict,MAIN_5FOLD,AGEDSRC_005,0
strict,MAIN_5FOLD,AGEDSRC_012,0
strict,MAIN_5FOLD,AGEDSRC_027,0
strict,MAIN_5FOLD,SUPPSRC_011,0
strict,MAIN_5FOLD,SUPPSRC_012,0
strict,MAIN_5FOLD,SUPPSRC_014,0
strict,MAIN_5FOLD,SUPPSRC_020,0
strict,MAIN_5FOLD,SUPPSRC_024,0
strict,MAIN_5FOLD,SUPPSRC_028,0
strict,MAIN_5FOLD,SUPPSRC_031,0
strict,MAIN_5FOLD,SUPPSRC_038,0
strict,MAIN_5FOLD,SUPPSRC_040,0
strict,MAIN_5FOLD,SUPPSRC_049,0
strict,MAIN_5FOLD,SUPPSRC_058,0
strict,MAIN_5FOLD,SUPPSRC_059,0
strict,MAIN_5FOLD,SUPPSRC_062,0
strict,MAIN_5FOLD,SUPPSRC_064,0
strict,MAIN_5FOLD,SUPPSRC_075,0
strict,MAIN_5FOLD,SUPPSRC_076,0
strict,MAIN_5FOLD,SUPPSRC_078,0
strict,MAIN_5FOLD,SUPPSRC_082,0
strict,MAIN_5FOLD,SUPPSRC_086,0
strict,MAIN_5FOLD,SUPPSRC_091,0
strict,MAIN_5FOLD,SUPPSRC_105,0
strict,MAIN_5FOLD,10.1007/s11661-010-0395-z,1
strict,MAIN_5FOLD,10.1016/j.corsci.2008.09.031,1
strict,MAIN_5FOLD,10.1016/j.msea.2007.10.083,1
strict,MAIN_5FOLD,10.1016/j.msea.2024.147381,1
strict,MAIN_5FOLD,10.1016/j.mtcomm.2025.112843,1
strict,MAIN_5FOLD,10.3390/met16010099,1
strict,MAIN_5FOLD,ACTASRC_006,1
strict,MAIN_5FOLD,ACTASRC_010,1
strict,MAIN_5FOLD,ACTASRC_012,1
strict,MAIN_5FOLD,ACTASRC_022,1
strict,MAIN_5FOLD,ACTASRC_030,1
strict,MAIN_5FOLD,ACTASRC_042,1
strict,MAIN_5FOLD,ACTASRC_050,1
strict,MAIN_5FOLD,ACTASRC_084,1
strict,MAIN_5FOLD,ACTASRC_088,1
strict,MAIN_5FOLD,ACTASRC_106,1
strict,MAIN_5FOLD,ACTASRC_107,1
strict,MAIN_5FOLD,ACTASRC_131,1
strict,MAIN_5FOLD,ACTASRC_139,1
strict,MAIN_5FOLD,ACTASRC_154,1
strict,MAIN_5FOLD,AGEDSRC_003,1
strict,MAIN_5FOLD,AGEDSRC_010,1
strict,MAIN_5FOLD,AGEDSRC_014,1
strict,MAIN_5FOLD,AGEDSRC_023,1
strict,MAIN_5FOLD,AGEDSRC_024,1
strict,MAIN_5FOLD,AGEDSRC_025,1
strict,MAIN_5FOLD,SUPPSRC_002,1
strict,MAIN_5FOLD,SUPPSRC_006,1
strict,MAIN_5FOLD,SUPPSRC_010,1
strict,MAIN_5FOLD,SUPPSRC_015,1
strict,MAIN_5FOLD,SUPPSRC_018,1
strict,MAIN_5FOLD,SUPPSRC_019,1
strict,MAIN_5FOLD,SUPPSRC_026,1
strict,MAIN_5FOLD,SUPPSRC_029,1
strict,MAIN_5FOLD,SUPPSRC_045,1
strict,MAIN_5FOLD,SUPPSRC_046,1
strict,MAIN_5FOLD,SUPPSRC_048,1
strict,MAIN_5FOLD,SUPPSRC_050,1
