Variable,Category,Unit_or_Coding,Definition,UTS_Final_Model_Role,YS_307_Missing_pct,UTS_675_Missing_pct,EL_537_Missing_pct,MTL_689_Missing_pct,Matched_266_Missing_pct
Model_Row_ID,记录标识,,建模表中的唯一行标识,来源分组/审计，不进入模型,0.0,0.0,0.0,0.0,0.0
Include_Main_Model,审计标记,0/1,是否进入原主建模候选范围,来源分组/审计，不进入模型,0.0,0.0,0.0,0.0,0.0
Sensitivity_Group,审计标记,,主分析或敏感性分析分层,来源分组/审计，不进入模型,0.0,0.0,0.0,0.0,0.0
Dataset,来源元数据,,数据集名称；用于迁移验证，不进入模型,来源分组/审计，不进入模型,0.0,0.0,0.0,0.0,0.0
Source_Group,来源元数据,,来源独占分组；同组仅进入一个外层折,来源分组/审计，不进入模型,0.0,0.0,0.0,0.0,0.0
DOI,来源元数据,,原始文献DOI；不得进入预测特征,来源分组/审计，不进入模型,0.6286644951140065,0.29333333333333333,0.3370577281191806,0.29753265602322204,0.6203007518796992
Source_Reference,来源元数据,,可读的文献或数据来源说明,来源分组/审计，不进入模型,0.0,0.0,0.0,0.0,0.0
Source_File,来源元数据,,上游文件名,来源分组/审计，不进入模型,0.0,0.0,0.0,0.0,0.0
Source_Sheet,来源元数据,,上游工作表名,来源分组/审计，不进入模型,0.0,0.0,0.0,0.0,0.0
Original_Row_ID,记录标识,,上游数据中的原始行号,来源分组/审计，不进入模型,0.0,0.0,0.0,0.0,0.0
Original_Sample_ID,记录标识,,上游样本编号,来源分组/审计，不进入模型,0.0,0.0,0.0,0.0,0.0
Alloy_Grade,材料元数据,,合金名义牌号,敏感性分析或未进入最终UTS模型,0.5960912052117264,0.6533333333333333,0.7932960893854749,0.6516690856313497,0.5939849624060151
Source_Type,来源元数据,,文献、公开数据集等来源类型,来源分组/审计，不进入模型,0.0,0.0,0.0,0.0,0.0
Value_Type,质量元数据,,实测值、估读值或整理值类型,来源分组/审计，不进入模型,0.0,0.0,0.0,0.0,0.0
Evidence_Level,质量元数据,,证据等级,来源分组/审计，不进入模型,0.0,0.0,0.0,0.0,0.0
Quality_Flag,质量元数据,,数据质量标记,来源分组/审计，不进入模型,0.30293159609120524,0.13333333333333333,0.15828677839851024,0.1378809869375907,0.31203007518796994
Condition_Original,工艺元数据,,原始状态/处理条件文本,敏感性分析或未进入最终UTS模型,1.0,0.8325925925925926,1.0,0.8359941944847605,1.0
Temper,工艺元数据,,热处理状态,敏感性分析或未进入最终UTS模型,0.8403908794788274,0.76,0.9236499068901304,0.7634252539912917,0.849624060150376
Process_Category,工艺元数据,,制造或加工类别,敏感性分析或未进入最终UTS模型,1.0,0.8325925925925926,1.0,0.8359941944847605,1.0
Quench_Medium,工艺元数据,,淬火介质,敏感性分析或未进入最终UTS模型,0.7980456026058632,0.9096296296296297,0.8919925512104283,0.9056603773584906,0.793233082706767
Al,化学成分,wt.%,铝含量；部分记录由余量计算,敏感性分析或未进入最终UTS模型,0.0,0.0,0.0,0.0,0.0
Zn,化学成分,wt.%,锌含量,最终直接输入特征,0.0,0.0,0.0,0.0,0.0
Mg,化学成分,wt.%,镁含量,最终直接输入特征,0.0,0.0,0.0,0.0,0.0
Cu,化学成分,wt.%,铜含量,最终直接输入特征,0.0,0.0,0.0,0.0,0.0
Si,化学成分,wt.%,硅含量,敏感性分析或未进入最终UTS模型,0.03257328990228013,0.014814814814814815,0.0148975791433892,0.015965166908563134,0.02631578947368421
Fe,化学成分,wt.%,铁含量,最终直接输入特征,0.03257328990228013,0.014814814814814815,0.0148975791433892,0.015965166908563134,0.02631578947368421
Mn,化学成分,wt.%,锰含量,敏感性分析或未进入最终UTS模型,0.03257328990228013,0.014814814814814815,0.0148975791433892,0.015965166908563134,0.02631578947368421
Cr,化学成分,wt.%,铬含量,敏感性分析或未进入最终UTS模型,0.019543973941368076,0.008888888888888889,0.0111731843575419,0.008708272859216255,0.022556390977443608
Ti,化学成分,wt.%,钛含量,敏感性分析或未进入最终UTS模型,0.03257328990228013,0.014814814814814815,0.0148975791433892,0.015965166908563134,0.02631578947368421
