Source_Group,Datasets,Source_Types,Evidence_Levels,Cohort_Row_Counts,DOI_for_access,DOI_as_recorded,DOI_status,Source_Reference,Redistribution_Status,Licence_or_Terms_URL,Access_Route
10.1007/s10853-010-4313-y,基础合并147,Public_Database,Curated_traceable,EL:4; MTL:4; Matched:4; UTS:4; YS:4,10.1007/s10853-010-4313-y,10.1007/s10853-010-4313-y,Consistent_in_reference,10.1007/s10853-010-4313-y,Review_required,,Resolve DOI 10.1007/s10853-010-4313-y and consult the article/supplement
10.1007/s10853-018-2201-z,基础合并147,Public_Database,Curated_traceable,EL:3; MTL:4; Matched:3; UTS:4; YS:4,10.1007/s10853-018-2201-z,10.1007/s10853-018-2201-z,Consistent_in_reference,10.1007/s10853-018-2201-z,Review_required,,Resolve DOI 10.1007/s10853-018-2201-z and consult the article/supplement
10.1007/s11661-010-0395-z,基础合并147,Public_Database,Curated_traceable,MTL:2; UTS:2; YS:2,10.1007/s11661-010-0395-z,10.1007/s11661-010-0395-z,Consistent_in_reference,10.1007/s11661-010-0395-z,Review_required,,Resolve DOI 10.1007/s11661-010-0395-z and consult the article/supplement
10.1007/s11661-014-2235-z,基础合并147,Public_Database,Curated_traceable,EL:1; MTL:1; Matched:1; UTS:1; YS:1,10.1007/s11661-014-2235-z,10.1007/s11661-014-2235-z,Consistent_in_reference,10.1007/s11661-014-2235-z,Review_required,,Resolve DOI 10.1007/s11661-014-2235-z and consult the article/supplement
10.1007/s11661-021-06279-5,基础合并147,Literature,Curated_traceable,EL:2; MTL:2; Matched:2; UTS:2; YS:2,https://doi.org/10.1007/s11661-021-06279-5,https://doi.org/10.1007/s11661-021-06279-5,Consistent_in_reference,https://doi.org/10.1007/s11661-021-06279-5,Review_required,,Resolve DOI https://doi.org/10.1007/s11661-021-06279-5 and consult the article/supplement
10.1007/s11665-025-11325-z,基础合并147,Literature,Curated_traceable,EL:1; MTL:1; UTS:1,https://doi.org/10.1007/s11665-025-11325-z,https://doi.org/10.1007/s11665-025-11325-z,Consistent_in_reference,https://doi.org/10.1007/s11665-025-11325-z,Review_required,,Resolve DOI https://doi.org/10.1007/s11665-025-11325-z and consult the article/supplement
10.1007/s12540-023-01610-8,基础合并147,Literature,Curated_traceable,EL:4; MTL:4; Matched:4; UTS:4; YS:4,https://doi.org/10.1007/s12540-023-01610-8,https://doi.org/10.1007/s12540-023-01610-8,Consistent_in_reference,https://doi.org/10.1007/s12540-023-01610-8,Review_required,,Resolve DOI https://doi.org/10.1007/s12540-023-01610-8 and consult the article/supplement
10.1007/s12613-019-1894-6,基础合并147,Literature,Curated_traceable,EL:2; MTL:2; Matched:2; UTS:2; YS:2,https://doi.org/10.1007/s12613-019-1894-6,https://doi.org/10.1007/s12613-019-1894-6,Consistent_in_reference,https://doi.org/10.1007/s12613-019-1894-6,Review_required,,Resolve DOI https://doi.org/10.1007/s12613-019-1894-6 and consult the article/supplement
10.1007/s40192-024-00374-2,基础合并147,Literature,Curated_traceable,EL:2; MTL:2; Matched:2; UTS:2; YS:2,https://doi.org/10.1007/s40192-024-00374-2,https://doi.org/10.1007/s40192-024-00374-2,Consistent_in_reference,https://doi.org/10.1007/s40192-024-00374-2,Review_required,,Resolve DOI https://doi.org/10.1007/s40192-024-00374-2 and consult the article/supplement
10.1016/j.actamat.2006.11.009,基础合并147,Public_Database,Curated_traceable,EL:1; MTL:1; Matched:1; UTS:1; YS:1,10.1016/j.actamat.2006.11.009,10.1016/j.actamat.2006.11.009,Consistent_in_reference,10.1016/j.actamat.2006.11.009,Review_required,,Resolve DOI 10.1016/j.actamat.2006.11.009 and consult the article/supplement
10.1016/j.actamat.2013.09.042,基础合并147,Public_Database,Curated_traceable,EL:7; MTL:7; Matched:7; UTS:7; YS:7,10.1016/j.actamat.2013.09.042,10.1016/j.actamat.2013.09.042,Consistent_in_reference,10.1016/j.actamat.2013.09.042,Review_required,,Resolve DOI 10.1016/j.actamat.2013.09.042 and consult the article/supplement
10.1016/j.jmatprotec.2018.06.022,基础合并147,Public_Database,Curated_traceable,EL:1; MTL:1; Matched:1; UTS:1; YS:1,10.1016/j.jmatprotec.2018.06.022,10.1016/j.jmatprotec.2018.06.022,Consistent_in_reference,10.1016/j.jmatprotec.2018.06.022,Review_required,,Resolve DOI 10.1016/j.jmatprotec.2018.06.022 and consult the article/supplement
10.1016/j.jmrt.2022.06.015,基础合并147,Literature,Curated_traceable,EL:5; MTL:5; Matched:5; UTS:5; YS:5,https://doi.org/10.1016/j.jmrt.2022.06.015,https://doi.org/10.1016/j.jmrt.2022.06.015,Consistent_in_reference,https://doi.org/10.1016/j.jmrt.2022.06.015,Review_required,,Resolve DOI https://doi.org/10.1016/j.jmrt.2022.06.015 and consult the article/supplement
10.1016/j.jmrt.2023.03.041,基础合并147,Literature,Curated_traceable,EL:5; MTL:5; Matched:5; UTS:5; YS:5,https://doi.org/10.1016/j.jmrt.2023.03.041,https://doi.org/10.1016/j.jmrt.2023.03.041,Consistent_in_reference,https://doi.org/10.1016/j.jmrt.2023.03.041,Review_required,,Resolve DOI https://doi.org/10.1016/j.jmrt.2023.03.041 and consult the article/supplement
10.1016/j.matdes.2015.05.074,基础合并147,Public_Database,Curated_traceable,EL:1; MTL:1; Matched:1; UTS:1; YS:1,10.1016/j.matdes.2015.05.074,10.1016/j.matdes.2015.05.074,Consistent_in_reference,10.1016/j.matdes.2015.05.074,Review_required,,Resolve DOI 10.1016/j.matdes.2015.05.074 and consult the article/supplement
10.1016/j.matdes.2025.114289,基础合并147,Literature,Curated_traceable,EL:5; MTL:5; Matched:5; UTS:5; YS:5,https://doi.org/10.1016/j.matdes.2025.114289,https://doi.org/10.1016/j.matdes.2025.114289,Consistent_in_reference,https://doi.org/10.1016/j.matdes.2025.114289,Review_required,,Resolve DOI https://doi.org/10.1016/j.matdes.2025.114289 and consult the article/supplement
10.1016/j.matlet.2024.137187,基础合并147,Literature,Curated_traceable,EL:2; MTL:2; Matched:2; UTS:2; YS:2,https://doi.org/10.1016/j.matlet.2024.137187,https://doi.org/10.1016/j.matlet.2024.137187,Consistent_in_reference,https://doi.org/10.1016/j.matlet.2024.137187,Review_required,,Resolve DOI https://doi.org/10.1016/j.matlet.2024.137187 and consult the article/supplement
10.1016/j.msea.2006.12.125,基础合并147,Public_Database,Curated_traceable,EL:1; MTL:1; Matched:1; UTS:1; YS:1,10.1016/j.msea.2006.12.125,10.1016/j.msea.2006.12.125,Consistent_in_reference,10.1016/j.msea.2006.12.125,Review_required,,Resolve DOI 10.1016/j.msea.2006.12.125 and consult the article/supplement
10.1016/j.msea.2007.07.048,基础合并147,Public_Database,Curated_traceable,EL:2; MTL:2; Matched:2; UTS:2; YS:2,10.1016/j.msea.2007.07.048,10.1016/j.msea.2007.07.048,Consistent_in_reference,10.1016/j.msea.2007.07.048,Review_required,,Resolve DOI 10.1016/j.msea.2007.07.048 and consult the article/supplement
