Task,Iteration,R2,RMSE,MAE,Source_Macro_MAE,Source_Macro_RMSE
UTS,0,0.5073817529975072,74.03291717109846,51.84486536603422,48.38615923135942,51.7525100104687
UTS,1,0.41731613862955075,67.06625687163385,46.75541805807041,44.22771743936967,47.46375342840589
UTS,2,0.5640099538742389,68.67027004640356,50.553859385648465,48.06142554113451,51.17643993905122
UTS,3,0.4316052353283012,71.1890026565578,50.811198244790376,51.00885812148346,55.440563074727464
UTS,4,0.5418611102214617,68.96738438988713,50.07780366309653,49.43934593520212,52.79570892557352
UTS,5,0.5446265873812901,68.88059990911418,51.19470619246137,50.20455198033137,53.98060197778386
UTS,6,0.5386106996887625,69.77399845484416,50.919588202143444,47.51648409613329,50.83517734236641
UTS,7,0.6008209152931236,64.67851024566683,46.26437049136902,45.00495077549444,47.73531960769503
UTS,8,0.4544692890693065,71.9606134118854,51.819291428626215,46.51232842833536,50.08684589099994
UTS,9,0.5266453222875263,55.483589943470214,42.121596712359896,41.2853743971233,43.946227580350254
UTS,10,0.5590171115179388,65.20447461174878,47.66929986901174,45.91061588510007,49.50786720359037
UTS,11,0.5778132536577747,73.64210298190234,54.7442489558865,51.367892119599766,54.52945945414722
UTS,12,0.528353940910621,66.03623005476989,47.85200589848957,45.9051212508237,49.12906051342826
UTS,13,0.5055155311507642,77.14611131573943,57.384908013400306,53.60544345288105,57.23421512095595
UTS,14,0.48537820332729265,70.19078453923672,51.9792012185776,46.78309320819523,49.596507566349935
UTS,15,0.4914401639140695,62.75794190135964,45.18551412549774,45.21522191959097,48.51037850302751
UTS,16,0.5245832276970699,68.28719086373076,48.60581063372313,47.994797625110785,51.15622393161291
UTS,17,0.5235511147319241,73.36697014995757,52.00581451710231,48.401578663967605,51.52359917800449
UTS,18,0.4559832797115039,74.57017284030496,52.784670603668,50.768079115448636,55.02842264306453
UTS,19,0.5091996948309485,71.93875698146478,52.794241628743315,46.08875675513498,48.89306101306732
UTS,20,0.5221452592962517,71.40227177711502,49.92794736293879,42.67132372316471,46.057543515702086
UTS,21,0.5156758132357498,72.3259418570287,50.421868701962026,48.234630181290115,52.17933505123345
