Feature_Set,Model,Task,Rows,Sources,R2,RMSE,MAE,Bias,Source_Macro_MAE,Source_Macro_RMSE
core10,Matched_MultiOutput_RF,YS,266,59,0.14789526820140952,102.73923356656128,73.76225867606419,10.547215901489366,71.00162856554145,79.39255226836859
core10,Matched_Independent_RF,YS,266,59,0.165024701988164,101.70133336296679,73.50358402756834,10.394028277881569,70.37189710814586,78.66918432282618
core10,Matched_MultiOutput_RF,UTS,266,59,0.25433563878530263,81.2710093732833,57.6629453783683,9.874973812737844,55.47657192632948,62.789020223057065
core10,Matched_Independent_RF,UTS,266,59,0.24763404662068023,81.63540045781343,58.00881193646069,9.736404934379607,56.723067344066315,64.06586845413536
core10,Matched_MultiOutput_RF,EL,266,59,-0.06220876389564678,5.244792256643667,3.684800772940806,-0.7967205476736794,2.9400126491319645,3.2286189217141894
core10,Matched_Independent_RF,EL,266,59,-0.1829799671483514,5.534928890305105,3.993988676262451,-0.583850361925417,3.1718385093655495,3.4549696987229725
refined5,Matched_MultiOutput_RF,YS,266,59,0.20034924142886168,99.52679291074398,71.29402335412898,11.187517157380421,70.60813813517949,79.0567491639323
refined5,Matched_Independent_RF,YS,266,59,0.20490686456975615,99.24276029315696,71.03884206140737,11.768437122807686,70.26138998922023,78.72901612261884
refined5,Matched_MultiOutput_RF,UTS,266,59,0.3176964375205962,77.74147562008118,55.08586622465655,10.76378821155588,54.051398842324026,61.485493911250366
refined5,Matched_Independent_RF,UTS,266,59,0.3038265642968502,78.52766502772226,55.81891259786448,11.062510418461404,54.900091846999,62.47752917082225
refined5,Matched_MultiOutput_RF,EL,266,59,-0.11074379402543455,5.363277870415957,3.796110893019747,-1.07120765573714,3.124700413754611,3.4284345602429007
refined5,Matched_Independent_RF,EL,266,59,-0.21602082355769148,5.611692387315849,4.064890301180349,-0.8601446599154231,3.3621590625354565,3.667102104893197
