Feature_Set,Model,Task,Rows,Sources,R2,RMSE,MAE,Source_Macro_MAE,Source_Macro_RMSE
core10,Independent_RF,EL,537,164,0.14018111679505452,4.2068222136834725,2.8681523573881487,2.367988847533631,2.579189811207714
core10,Masked_MTL,EL,537,164,0.023700994553666477,4.482724952156695,3.0825719060211028,2.4654922126925496,2.6960856434256373
refined5,Independent_RF,EL,537,164,0.08763632054778181,4.333458712196575,2.976719655184336,2.5224198428099984,2.732049326180739
refined5,Masked_MTL,EL,537,164,-0.01098531457422669,4.561661894308739,3.1611789078167725,2.570804275602169,2.795064142903815
core10,Independent_RF,UTS,675,258,0.5076370116356967,70.51251719747182,48.43244301069395,45.12437969022572,48.61511294072624
core10,Masked_MTL,UTS,675,258,0.41585498709500734,76.80400298519258,54.52794667220766,50.03714560181658,53.520495936729276
refined5,Independent_RF,UTS,675,258,0.5325402878925598,68.7061499376061,48.99193677786664,47.723350565447845,51.174262769988964
refined5,Masked_MTL,UTS,675,258,0.48375083889438375,72.20266017579637,53.10735231908935,49.30974415408623,52.720696847646856
core10,Independent_RF,YS,307,63,0.16573752802718988,98.69641738108557,70.26280828737754,71.81916565793546,80.18856026853689
core10,Masked_MTL,YS,307,63,0.0010966944264358958,107.99701689160743,76.51483537432804,78.82873390934031,87.02430981085546
refined5,Independent_RF,YS,307,63,0.1974301802799332,96.80358618757694,69.02111606919257,72.40072082551463,80.67660827381874
refined5,Masked_MTL,YS,307,63,0.15675886173046782,99.22610118135601,73.38693411791645,73.1466605484091,80.33236275841134
