Section,Level_or_Model,Task_or_Pair,Rows,R2_or_Spearman,RMSE,MAE,Conclusion
目标相关性,Row,YS-UTS,266,0.9427368390965046,,,完整匹配子集上的秩相关
目标相关性,Source_Mean,YS-UTS,59,0.9123573506533845,,,完整匹配子集上的秩相关
目标相关性,Row,YS-EL,266,-0.33054082387578587,,,完整匹配子集上的秩相关
目标相关性,Source_Mean,YS-EL,59,-0.47684596740024376,,,完整匹配子集上的秩相关
目标相关性,Row,UTS-EL,266,-0.274397940098845,,,完整匹配子集上的秩相关
目标相关性,Source_Mean,UTS-EL,59,-0.400792027806499,,,完整匹配子集上的秩相关
同样本公平比较,Full_Label_Data_Model_restricted_to_matched,YS,266,0.1625998359429247,101.8489025919722,71.48956691901186,匹配子集是更困难且分布不同的验证域
同样本公平比较,Full_Label_Data_Model_restricted_to_matched,UTS,266,0.30727440251250115,78.33296732003232,53.83478335400789,匹配子集是更困难且分布不同的验证域
同样本公平比较,Full_Label_Data_Model_restricted_to_matched,EL,266,-0.03262803419749205,5.171247288526506,3.528592257622259,匹配子集是更困难且分布不同的验证域
同样本公平比较,Matched_Independent_RF_XGB_Mean,YS,266,0.16600648227683068,101.64152456811496,71.70569621499165,匹配子集是更困难且分布不同的验证域
同样本公平比较,Matched_Independent_RF_XGB_Mean,UTS,266,0.29178667555223037,79.20379791885186,56.46792378337594,匹配子集是更困难且分布不同的验证域
同样本公平比较,Matched_Independent_RF_XGB_Mean,EL,266,-0.11850660520420431,5.381986785639375,3.854134578244774,匹配子集是更困难且分布不同的验证域
